epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7443458403813417,0.1989100817438692,1.5613154878421707,0.27040816326530615
2,1.6483054261766272,0.2615803814713896,1.489705650173888,0.3469387755102041
3,1.5742212881509225,0.2970027247956403,1.413130638550739,0.413265306122449
4,1.4791297331168152,0.35013623978201636,1.3442488008615923,0.49489795918367346
5,1.4351273583456345,0.4019073569482289,1.2553776089026003,0.5816326530612245
6,1.3837985131656116,0.4373297002724796,1.211318959995192,0.6887755102040817
7,1.3383744058557037,0.4604904632152589,1.1719558287640006,0.7142857142857143
8,1.2623981610955595,0.5231607629427792,1.0942348582404,0.7142857142857143
9,1.2267678716202197,0.547683923705722,1.0477706315566082,0.7551020408163265
10,1.1793857231451965,0.555858310626703,1.0205248545627206,0.75
11,1.1338639571166493,0.5980926430517711,0.9649703599968735,0.7653061224489796
12,1.0857162660733881,0.611716621253406,0.9272297109876361,0.826530612244898
13,1.043700161357017,0.662125340599455,0.9203188273371482,0.8112244897959183
14,1.0496095469277302,0.6457765667574932,0.8565866509262396,0.8214285714285714
15,1.0182262179961972,0.6607629427792916,0.8602680746389895,0.8112244897959183
16,0.9857618954915767,0.6839237057220708,0.8481422273480163,0.8163265306122449
17,0.9343310412658983,0.7084468664850136,0.7728229578660459,0.8673469387755102
18,0.9181960148772362,0.7193460490463215,0.7663818743764138,0.8316326530612245
19,0.910447693975485,0.7247956403269755,0.7401114969837422,0.8622448979591837
20,0.8872747429385173,0.720708446866485,0.7462049698343083,0.8418367346938775
21,0.9057480031852826,0.7070844686648501,0.7072892943207099,0.8724489795918368
22,0.8627633543365333,0.720708446866485,0.6527276647334196,0.8724489795918368
23,0.8236606769081033,0.7397820163487738,0.6664084415046536,0.8622448979591837
24,0.8172915743547174,0.7534059945504087,0.6621159923319914,0.8826530612244898
25,0.8150174565795981,0.7534059945504087,0.6029506337885954,0.8979591836734694
26,0.795353944360073,0.7683923705722071,0.6331103711712117,0.8520408163265306
27,0.7781776001407925,0.7493188010899182,0.6762144869687606,0.8724489795918368
28,0.7765162444244613,0.7615803814713896,0.6060626385163288,0.8724489795918368
29,0.7462896045287234,0.7724795640326976,0.5645522110316218,0.8826530612244898
30,0.7728778216429563,0.7465940054495913,0.5659641343720105,0.8826530612244898
31,0.7547560394297503,0.771117166212534,0.5552413463592529,0.8979591836734694
32,0.750608981954954,0.7833787465940054,0.5695138962901368,0.8520408163265306
33,0.7462350295739862,0.7683923705722071,0.526528363325158,0.9183673469387755
34,0.6918125282516272,0.8024523160762943,0.541640160035114,0.9030612244897959
35,0.7210094246617454,0.7643051771117166,0.5402326973117128,0.8724489795918368
36,0.6959539760685747,0.784741144414169,0.5516588821703073,0.8724489795918368
37,0.6683640514147704,0.8174386920980926,0.5334625292797478,0.8877551020408163
38,0.6773584340508693,0.7888283378746594,0.5431572563794195,0.8775510204081632
39,0.7002835086970628,0.776566757493188,0.513934310601682,0.8775510204081632
40,0.6740017437480126,0.7901907356948229,0.5059548908350419,0.8928571428571429
41,0.6626310332269695,0.7983651226158038,0.539852326013604,0.8877551020408163
42,0.6525938403703861,0.8092643051771117,0.4881762996011851,0.8775510204081632
43,0.6275597765270305,0.8174386920980926,0.4635511989496192,0.9030612244897959
44,0.6203152883280201,0.8024523160762943,0.4926476429919807,0.8979591836734694
45,0.6178854595900232,0.7929155313351499,0.44169057145410656,0.9081632653061225
46,0.6145398150672705,0.8242506811989101,0.45860983644212994,0.9132653061224489
47,0.6249379656945002,0.8065395095367848,0.4645604004665297,0.8928571428571429
48,0.6148958842825825,0.8119891008174387,0.5030893111715511,0.8724489795918368
49,0.6094296350466133,0.8147138964577657,0.46038055419921875,0.9030612244897959
50,0.6094931541086868,0.8092643051771117,0.4449593899201374,0.9030612244897959
